ItemNumber,listener_group,ProductionPresentationOrder,SentenceOrder,Type,Type_Num,Source,SourceNum,SentenceCorrect,Talker,TalkerGroup,Sound,ListenerGroup,Duration..in.seconds.,mTurkCode,ItemNum,ItemNum2,Resp,Resp_NUM,Timing_Click.Count,Timing_First.Click,Timing_Last.Click,Timing_Page.Submit,RT,WhichRT
37,V2,7,15,BKB,BKB30,BKB-R,8_16,The coat is on the chair.,310,NativeMandarin-High (NMH),310_practice_07.mp3,V2,3381,3855539,X37,37,"


5",5,1,6.365,6.365,6.274,6.365,FirstClick
38,V2,8,8,BKB,BKB14,BKB-R,7_16,The new road is on the map. ,310,NativeMandarin-High (NMH),310_practice_08.mp3,V2,3381,3855539,X38,38,"


8",8,1,5.152,5.152,5.074,5.152,FirstClick
39,V2,9,11,BKB,BKB20,BKB-R,8_6,The jug is on the shelf.,310,NativeMandarin-High (NMH),310_practice_09.mp3,V2,3381,3855539,X39,39,"


6",6,1,4.056,4.056,4.088,4.056,FirstClick
40,V2,10,6,BKB,BKB12,BKB-R,7_13,The girl has a picture book.,310,NativeMandarin-High (NMH),310_practice_10.mp3,V2,3381,3855539,X40,40,"


5",5,1,1.115,1.115,1.039,1.115,FirstClick
41,V2,11,7,BKB,BKB13,BKB-R,7_14,The orange was very sweet.,310,NativeMandarin-High (NMH),310_practice_11.mp3,V2,3381,3855539,X41,41,"


6",6,1,1.344,1.344,1.369,1.344,FirstClick
42,V2,1,14,BKB,BKB29,BKB-R,8_15,The three girls are listening.,403,NativeEnglish (NTE),403_practice_01.mp3,V2,3381,3855539,X42,42,"


5",5,1,1.621,1.621,1.653,1.621,FirstClick
43,V2,3,3,BKB,BKB7,BKB-R,7_8,The young people are dancing.,403,NativeEnglish (NTE),403_practice_03.mp3,V2,3381,3855539,X43,43,"


5",5,2,21.398,22.031,22.073,22.031,LastClick
44,V2,4,12,BKB,BKB21,BKB-R,8_7,The ball broke the window.,403,NativeEnglish (NTE),403_practice_04.mp3,V2,3381,3855539,X44,44,"


6",6,1,73.545,73.545,73.582,73.545,FirstClick
45,V2,5,9,BKB,BKB15,BKB-R,8_1,The boy forgot his book.,403,NativeEnglish (NTE),403_practice_05.mp3,V2,3381,3855539,X45,45,"


7",7,1,0.792,0.792,0.701,0.792,FirstClick
46,V2,6,5,BKB,BKB9,BKB-R,7_10,They had two empty bottles.,403,NativeEnglish (NTE),403_practice_06.mp3,V2,3381,3855539,X46,46,"


5",5,1,2.618,2.618,2.647,2.618,FirstClick
47,V2,7,15,BKB,BKB30,BKB-R,8_16,The coat is on the chair.,403,NativeEnglish (NTE),403_practice_07.mp3,V2,3381,3855539,X47,47,"


6",6,2,33.539,34.981,35.019,34.981,LastClick
48,V2,8,8,BKB,BKB14,BKB-R,7_16,The new road is on the map. ,403,NativeEnglish (NTE),403_practice_08.mp3,V2,3381,3855539,X48,48,"


6",6,1,37.099,37.099,37.129,37.099,FirstClick
49,V2,9,11,BKB,BKB20,BKB-R,8_6,The jug is on the shelf.,403,NativeEnglish (NTE),403_practice_09.mp3,V2,3381,3855539,X49,49,"


6",6,2,0.92,1.456,1.489,1.456,LastClick
50,V2,10,6,BKB,BKB12,BKB-R,7_13,The girl has a picture book.,403,NativeEnglish (NTE),403_practice_10.mp3,V2,3381,3855539,X50,50,"


5",5,1,1.475,1.475,1.401,1.475,FirstClick
51,V2,11,7,BKB,BKB13,BKB-R,7_14,The orange was very sweet.,403,NativeEnglish (NTE),403_practice_11.mp3,V2,3381,3855539,X51,51,"


7",7,1,13.023,13.023,12.939,13.023,FirstClick
52,V2,1,14,BKB,BKB29,BKB-R,8_15,The three girls are listening.,404,NativeEnglish (NTE),404_practice_01.mp3,V2,3381,3855539,X52,52,"


4",4,1,0.711,0.711,0.736,0.711,FirstClick
53,V2,3,3,BKB,BKB7,BKB-R,7_8,The young people are dancing.,404,NativeEnglish (NTE),404_practice_03.mp3,V2,3381,3855539,X53,53,"


6",6,2,30.551,31.176,31.206,31.176,LastClick
54,V2,4,12,BKB,BKB21,BKB-R,8_7,The ball broke the window.,404,NativeEnglish (NTE),404_practice_04.mp3,V2,3381,3855539,X54,54,"


6",6,1,0.419,0.419,0.447,0.419,FirstClick
55,V2,5,9,BKB,BKB15,BKB-R,8_1,The boy forgot his book.,404,NativeEnglish (NTE),404_practice_05.mp3,V2,3381,3855539,X55,55,"


4",4,1,6.069,6.069,6.107,6.069,FirstClick
56,V2,6,5,BKB,BKB9,BKB-R,7_10,They had two empty bottles.,404,NativeEnglish (NTE),404_practice_06.mp3,V2,3381,3855539,X56,56,"


5",5,1,0.577,0.577,0.502,0.577,FirstClick
57,V2,7,15,BKB,BKB30,BKB-R,8_16,The coat is on the chair.,404,NativeEnglish (NTE),404_practice_07.mp3,V2,3381,3855539,X57,57,"


5",5,1,34.579,34.579,34.611,34.579,FirstClick
58,V2,8,8,BKB,BKB14,BKB-R,7_16,The new road is on the map. ,404,NativeEnglish (NTE),404_practice_08.mp3,V2,3381,3855539,X58,58,"


5",5,1,1.398,1.398,1.308,1.398,FirstClick
59,V2,9,11,BKB,BKB20,BKB-R,8_6,The jug is on the shelf.,404,NativeEnglish (NTE),404_practice_09.mp3,V2,3381,3855539,X59,59,"


6",6,1,0.872,0.872,0.897,0.872,FirstClick
60,V2,10,6,BKB,BKB12,BKB-R,7_13,The girl has a picture book.,404,NativeEnglish (NTE),404_practice_10.mp3,V2,3381,3855539,X60,60,"


6",6,1,12.701,12.701,12.727,12.701,FirstClick
61,V2,11,7,BKB,BKB13,BKB-R,7_14,The orange was very sweet.,404,NativeEnglish (NTE),404_practice_11.mp3,V2,3381,3855539,X61,61,"


7",7,1,10.062,10.062,10.09,10.062,FirstClick
1,V3,1,14,BKB,BKB29,BKB-R,8_15,The three girls are listening.,106,NativeMandarin-Low (NML),106_practice_01.mp3,V3,1053,3906581,X1,1,"


6",6,1,0.389,0.389,0.397,0.389,FirstClick
3,V3,3,3,BKB,BKB7,BKB-R,7_8,The young people are dancing.,106,NativeMandarin-Low (NML),106_practice_03.mp3,V3,1053,3906581,X3,3,"


7",7,1,0.191,0.191,0.197,0.191,FirstClick
4,V3,4,12,BKB,BKB21,BKB-R,8_7,The ball broke the window.,106,NativeMandarin-Low (NML),106_practice_04.mp3,V3,1053,3906581,X4,4,"


6",6,1,1.5,1.5,1.508,1.5,FirstClick
5,V3,5,9,BKB,BKB15,BKB-R,8_1,The boy forgot his book.,106,NativeMandarin-Low (NML),106_practice_05.mp3,V3,1053,3906581,X5,5,"An extremely strong
foreign accent
9",9,1,0.615,0.615,0.622,0.615,FirstClick
6,V3,6,5,BKB,BKB9,BKB-R,7_10,They had two empty bottles.,106,NativeMandarin-Low (NML),106_practice_06.mp3,V3,1053,3906581,X6,6,"An extremely strong
foreign accent
9",9,1,0.286,0.286,0.292,0.286,FirstClick
7,V3,7,15,BKB,BKB30,BKB-R,8_16,The coat is on the chair.,106,NativeMandarin-Low (NML),106_practice_07.mp3,V3,1053,3906581,X7,7,"An extremely strong
foreign accent
9",9,1,0.186,0.186,0.192,0.186,FirstClick
8,V3,8,8,BKB,BKB14,BKB-R,7_16,The new road is on the map. ,106,NativeMandarin-Low (NML),106_practice_08.mp3,V3,1053,3906581,X8,8,"


8",8,1,0.265,0.265,0.273,0.265,FirstClick
9,V3,9,11,BKB,BKB20,BKB-R,8_6,The jug is on the shelf.,106,NativeMandarin-Low (NML),106_practice_09.mp3,V3,1053,3906581,X9,9,"


8",8,1,0.153,0.153,0.16,0.153,FirstClick
10,V3,10,6,BKB,BKB12,BKB-R,7_13,The girl has a picture book.,106,NativeMandarin-Low (NML),106_practice_10.mp3,V3,1053,3906581,X10,10,"An extremely strong
foreign accent
9",9,1,0.135,0.135,0.143,0.135,FirstClick
11,V3,11,7,BKB,BKB13,BKB-R,7_14,The orange was very sweet.,106,NativeMandarin-Low (NML),106_practice_11.mp3,V3,1053,3906581,X11,11,"


8",8,1,0.413,0.413,0.42,0.413,FirstClick
12,V3,1,14,BKB,BKB29,BKB-R,8_15,The three girls are listening.,107,NativeMandarin-Low (NML),107_practice_01.mp3,V3,1053,3906581,X12,12,"


6",6,1,0.446,0.446,0.455,0.446,FirstClick
13,V3,3,3,BKB,BKB7,BKB-R,7_8,The young people are dancing.,107,NativeMandarin-Low (NML),107_practice_03.mp3,V3,1053,3906581,X13,13,"


7",7,1,0.962,0.962,0.968,0.962,FirstClick
14,V3,4,12,BKB,BKB21,BKB-R,8_7,The ball broke the window.,107,NativeMandarin-Low (NML),107_practice_04.mp3,V3,1053,3906581,X14,14,"An extremely strong
foreign accent
9",9,1,0.152,0.152,0.158,0.152,FirstClick
15,V3,5,9,BKB,BKB15,BKB-R,8_1,The boy forgot his book.,107,NativeMandarin-Low (NML),107_practice_05.mp3,V3,1053,3906581,X15,15,"


8",8,1,0.713,0.713,0.72,0.713,FirstClick
16,V3,6,5,BKB,BKB9,BKB-R,7_10,They had two empty bottles.,107,NativeMandarin-Low (NML),107_practice_06.mp3,V3,1053,3906581,X16,16,"An extremely strong
foreign accent
9",9,1,0.226,0.226,0.233,0.226,FirstClick
17,V3,7,15,BKB,BKB30,BKB-R,8_16,The coat is on the chair.,107,NativeMandarin-Low (NML),107_practice_07.mp3,V3,1053,3906581,X17,17,"


7",7,1,0.233,0.233,0.239,0.233,FirstClick
18,V3,8,8,BKB,BKB14,BKB-R,7_16,The new road is on the map. ,107,NativeMandarin-Low (NML),107_practice_08.mp3,V3,1053,3906581,X18,18,"


8",8,1,0.525,0.525,0.534,0.525,FirstClick
19,V3,9,11,BKB,BKB20,BKB-R,8_6,The jug is on the shelf.,107,NativeMandarin-Low (NML),107_practice_09.mp3,V3,1053,3906581,X19,19,"


6",6,1,0.271,0.271,0.278,0.271,FirstClick
20,V3,10,6,BKB,BKB12,BKB-R,7_13,The girl has a picture book.,107,NativeMandarin-Low (NML),107_practice_10.mp3,V3,1053,3906581,X20,20,"


7",7,1,2.644,2.644,2.65,2.644,FirstClick
21,V3,11,7,BKB,BKB13,BKB-R,7_14,The orange was very sweet.,107,NativeMandarin-Low (NML),107_practice_11.mp3,V3,1053,3906581,X21,21,"An extremely strong
foreign accent
9",9,1,0.012,0.012,0.018,0.012,FirstClick
22,V3,1,14,BKB,BKB29,BKB-R,8_15,The three girls are listening.,306,NativeMandarin-High (NMH),306_practice_01.mp3,V3,1053,3906581,X22,22,"A native English speaker
1",1,1,3.98,3.98,3.986,3.98,FirstClick
23,V3,3,3,BKB,BKB7,BKB-R,7_8,The young people are dancing.,306,NativeMandarin-High (NMH),306_practice_03.mp3,V3,1053,3906581,X23,23,"


2",2,1,0.293,0.293,0.299,0.293,FirstClick
24,V3,4,12,BKB,BKB21,BKB-R,8_7,The ball broke the window.,306,NativeMandarin-High (NMH),306_practice_04.mp3,V3,1053,3906581,X24,24,"


5",5,1,0.425,0.425,0.432,0.425,FirstClick
25,V3,5,9,BKB,BKB15,BKB-R,8_1,The boy forgot his book.,306,NativeMandarin-High (NMH),306_practice_05.mp3,V3,1053,3906581,X25,25,"A native English speaker
1",1,1,0.799,0.799,0.805,0.799,FirstClick
26,V3,6,5,BKB,BKB9,BKB-R,7_10,They had two empty bottles.,306,NativeMandarin-High (NMH),306_practice_06.mp3,V3,1053,3906581,X26,26,"


6",6,1,0.351,0.351,0.358,0.351,FirstClick
27,V3,7,15,BKB,BKB30,BKB-R,8_16,The coat is on the chair.,306,NativeMandarin-High (NMH),306_practice_07.mp3,V3,1053,3906581,X27,27,"


4",4,1,0.631,0.631,0.638,0.631,FirstClick
28,V3,8,8,BKB,BKB14,BKB-R,7_16,The new road is on the map. ,306,NativeMandarin-High (NMH),306_practice_08.mp3,V3,1053,3906581,X28,28,"


3",3,1,0.521,0.521,0.527,0.521,FirstClick
29,V3,9,11,BKB,BKB20,BKB-R,8_6,The jug is on the shelf.,306,NativeMandarin-High (NMH),306_practice_09.mp3,V3,1053,3906581,X29,29,"


2",2,1,0.215,0.215,0.221,0.215,FirstClick
30,V3,10,6,BKB,BKB12,BKB-R,7_13,The girl has a picture book.,306,NativeMandarin-High (NMH),306_practice_10.mp3,V3,1053,3906581,X30,30,"A native English speaker
1",1,1,1.282,1.282,1.289,1.282,FirstClick
31,V3,11,7,BKB,BKB13,BKB-R,7_14,The orange was very sweet.,306,NativeMandarin-High (NMH),306_practice_11.mp3,V3,1053,3906581,X31,31,"


4",4,1,0.557,0.557,0.564,0.557,FirstClick
32,V3,1,14,BKB,BKB29,BKB-R,8_15,The three girls are listening.,311,NativeMandarin-High (NMH),311_practice_01.mp3,V3,1053,3906581,X32,32,"


6",6,1,0.322,0.322,0.328,0.322,FirstClick
33,V3,3,3,BKB,BKB7,BKB-R,7_8,The young people are dancing.,311,NativeMandarin-High (NMH),311_practice_03.mp3,V3,1053,3906581,X33,33,"


6",6,1,0.276,0.276,0.282,0.276,FirstClick
34,V3,4,12,BKB,BKB21,BKB-R,8_7,The ball broke the window.,311,NativeMandarin-High (NMH),311_practice_04.mp3,V3,1053,3906581,X34,34,"A native English speaker
1",1,1,2.956,2.956,2.965,2.956,FirstClick
35,V3,5,9,BKB,BKB15,BKB-R,8_1,The boy forgot his book.,311,NativeMandarin-High (NMH),311_practice_05.mp3,V3,1053,3906581,X35,35,"


6",6,1,1.137,1.137,1.143,1.137,FirstClick
36,V3,6,5,BKB,BKB9,BKB-R,7_10,They had two empty bottles.,311,NativeMandarin-High (NMH),311_practice_06.mp3,V3,1053,3906581,X36,36,"


5",5,1,0.619,0.619,0.626,0.619,FirstClick
37,V3,7,15,BKB,BKB30,BKB-R,8_16,The coat is on the chair.,311,NativeMandarin-High (NMH),311_practice_07.mp3,V3,1053,3906581,X37,37,"


4",4,1,1.087,1.087,1.093,1.087,FirstClick
38,V3,8,8,BKB,BKB14,BKB-R,7_16,The new road is on the map. ,311,NativeMandarin-High (NMH),311_practice_08.mp3,V3,1053,3906581,X38,38,"


6",6,1,0.17,0.17,0.176,0.17,FirstClick
39,V3,9,11,BKB,BKB20,BKB-R,8_6,The jug is on the shelf.,311,NativeMandarin-High (NMH),311_practice_09.mp3,V3,1053,3906581,X39,39,"


7",7,1,1.261,1.261,1.267,1.261,FirstClick
40,V3,10,6,BKB,BKB12,BKB-R,7_13,The girl has a picture book.,311,NativeMandarin-High (NMH),311_practice_10.mp3,V3,1053,3906581,X40,40,"


3",3,1,0.373,0.373,0.38,0.373,FirstClick
41,V3,11,7,BKB,BKB13,BKB-R,7_14,The orange was very sweet.,311,NativeMandarin-High (NMH),311_practice_11.mp3,V3,1053,3906581,X41,41,"


7",7,1,0.438,0.438,0.445,0.438,FirstClick
42,V3,1,14,BKB,BKB29,BKB-R,8_15,The three girls are listening.,405,NativeEnglish (NTE),405_practice_01.mp3,V3,1053,3906581,X42,42,"A native English speaker
1",1,1,0.864,0.864,0.871,0.864,FirstClick
43,V3,3,3,BKB,BKB7,BKB-R,7_8,The young people are dancing.,405,NativeEnglish (NTE),405_practice_03.mp3,V3,1053,3906581,X43,43,"


3",3,1,0.781,0.781,0.788,0.781,FirstClick
44,V3,4,12,BKB,BKB21,BKB-R,8_7,The ball broke the window.,405,NativeEnglish (NTE),405_practice_04.mp3,V3,1053,3906581,X44,44,"A native English speaker
1",1,1,1.073,1.073,1.08,1.073,FirstClick
45,V3,5,9,BKB,BKB15,BKB-R,8_1,The boy forgot his book.,405,NativeEnglish (NTE),405_practice_05.mp3,V3,1053,3906581,X45,45,"A native English speaker
1",1,1,0.188,0.188,0.194,0.188,FirstClick
46,V3,6,5,BKB,BKB9,BKB-R,7_10,They had two empty bottles.,405,NativeEnglish (NTE),405_practice_06.mp3,V3,1053,3906581,X46,46,"A native English speaker
1",1,1,0.449,0.449,0.455,0.449,FirstClick
47,V3,7,15,BKB,BKB30,BKB-R,8_16,The coat is on the chair.,405,NativeEnglish (NTE),405_practice_07.mp3,V3,1053,3906581,X47,47,"A native English speaker
1",1,1,0.091,0.091,0.097,0.091,FirstClick
48,V3,8,8,BKB,BKB14,BKB-R,7_16,The new road is on the map. ,405,NativeEnglish (NTE),405_practice_08.mp3,V3,1053,3906581,X48,48,"A native English speaker
1",1,1,3.203,3.203,3.209,3.203,FirstClick
49,V3,9,11,BKB,BKB20,BKB-R,8_6,The jug is on the shelf.,405,NativeEnglish (NTE),405_practice_09.mp3,V3,1053,3906581,X49,49,"A native English speaker
1",1,1,0.132,0.132,0.142,0.132,FirstClick
50,V3,10,6,BKB,BKB12,BKB-R,7_13,The girl has a picture book.,405,NativeEnglish (NTE),405_practice_10.mp3,V3,1053,3906581,X50,50,"A native English speaker
1",1,1,0.05,0.05,0.057,0.05,FirstClick
51,V3,11,7,BKB,BKB13,BKB-R,7_14,The orange was very sweet.,405,NativeEnglish (NTE),405_practice_11.mp3,V3,1053,3906581,X51,51,"A native English speaker
1",1,1,0.131,0.131,0.137,0.131,FirstClick
52,V3,1,14,BKB,BKB29,BKB-R,8_15,The three girls are listening.,411,NativeEnglish (NTE),411_practice_01.mp3,V3,1053,3906581,X52,52,"A native English speaker
1",1,1,0.176,0.176,0.182,0.176,FirstClick
53,V3,3,3,BKB,BKB7,BKB-R,7_8,The young people are dancing.,411,NativeEnglish (NTE),411_practice_03.mp3,V3,1053,3906581,X53,53,"


2",2,1,1.037,1.037,1.043,1.037,FirstClick
54,V3,4,12,BKB,BKB21,BKB-R,8_7,The ball broke the window.,411,NativeEnglish (NTE),411_practice_04.mp3,V3,1053,3906581,X54,54,"A native English speaker
1",1,2,0.076,0.958,0.965,0.958,LastClick
55,V3,5,9,BKB,BKB15,BKB-R,8_1,The boy forgot his book.,411,NativeEnglish (NTE),411_practice_05.mp3,V3,1053,3906581,X55,55,"A native English speaker
1",1,1,1.59,1.59,1.598,1.59,FirstClick
56,V3,6,5,BKB,BKB9,BKB-R,7_10,They had two empty bottles.,411,NativeEnglish (NTE),411_practice_06.mp3,V3,1053,3906581,X56,56,"A native English speaker
1",1,1,0.02,0.02,0.027,0.02,FirstClick
57,V3,7,15,BKB,BKB30,BKB-R,8_16,The coat is on the chair.,411,NativeEnglish (NTE),411_practice_07.mp3,V3,1053,3906581,X57,57,"A native English speaker
1",1,1,0.105,0.105,0.112,0.105,FirstClick
58,V3,8,8,BKB,BKB14,BKB-R,7_16,The new road is on the map. ,411,NativeEnglish (NTE),411_practice_08.mp3,V3,1053,3906581,X58,58,"A native English speaker
1",1,1,0.888,0.888,0.897,0.888,FirstClick
59,V3,9,11,BKB,BKB20,BKB-R,8_6,The jug is on the shelf.,411,NativeEnglish (NTE),411_practice_09.mp3,V3,1053,3906581,X59,59,"A native English speaker
1",1,1,0.115,0.115,0.122,0.115,FirstClick
60,V3,10,6,BKB,BKB12,BKB-R,7_13,The girl has a picture book.,411,NativeEnglish (NTE),411_practice_10.mp3,V3,1053,3906581,X60,60,"A native English speaker
1",1,1,0.473,0.473,0.479,0.473,FirstClick
61,V3,11,7,BKB,BKB13,BKB-R,7_14,The orange was very sweet.,411,NativeEnglish (NTE),411_practice_11.mp3,V3,1053,3906581,X61,61,"A native English speaker
1",1,1,0.118,0.118,0.125,0.118,FirstClick
1,V2,1,14,BKB,BKB29,BKB-R,8_15,The three girls are listening.,103,NativeMandarin-Low (NML),103_practice_01.mp3,V2,360,3927255,X1,1,"


7",7,1,0.556,0.556,0.562,0.556,FirstClick
3,V2,3,3,BKB,BKB7,BKB-R,7_8,The young people are dancing.,103,NativeMandarin-Low (NML),103_practice_03.mp3,V2,360,3927255,X3,3,"


7",7,1,0.466,0.466,0.473,0.466,FirstClick
4,V2,4,12,BKB,BKB21,BKB-R,8_7,The ball broke the window.,103,NativeMandarin-Low (NML),103_practice_04.mp3,V2,360,3927255,X4,4,"


7",7,1,0.465,0.465,0.471,0.465,FirstClick
5,V2,5,9,BKB,BKB15,BKB-R,8_1,The boy forgot his book.,103,NativeMandarin-Low (NML),103_practice_05.mp3,V2,360,3927255,X5,5,"


5",5,1,0.077,0.077,0.083,0.077,FirstClick
6,V2,6,5,BKB,BKB9,BKB-R,7_10,They had two empty bottles.,103,NativeMandarin-Low (NML),103_practice_06.mp3,V2,360,3927255,X6,6,"


5",5,1,0.492,0.492,0.498,0.492,FirstClick
7,V2,7,15,BKB,BKB30,BKB-R,8_16,The coat is on the chair.,103,NativeMandarin-Low (NML),103_practice_07.mp3,V2,360,3927255,X7,7,"


5",5,1,1.14,1.14,1.147,1.14,FirstClick
8,V2,8,8,BKB,BKB14,BKB-R,7_16,The new road is on the map. ,103,NativeMandarin-Low (NML),103_practice_08.mp3,V2,360,3927255,X8,8,"


5",5,1,0.276,0.276,0.283,0.276,FirstClick
9,V2,9,11,BKB,BKB20,BKB-R,8_6,The jug is on the shelf.,103,NativeMandarin-Low (NML),103_practice_09.mp3,V2,360,3927255,X9,9,"


4",4,2,0.142,0.615,0.621,0.615,LastClick
10,V2,10,6,BKB,BKB12,BKB-R,7_13,The girl has a picture book.,103,NativeMandarin-Low (NML),103_practice_10.mp3,V2,360,3927255,X10,10,"


3",3,1,0.37,0.37,0.376,0.37,FirstClick
11,V2,11,7,BKB,BKB13,BKB-R,7_14,The orange was very sweet.,103,NativeMandarin-Low (NML),103_practice_11.mp3,V2,360,3927255,X11,11,"


7",7,1,0.111,0.111,0.118,0.111,FirstClick
12,V2,1,14,BKB,BKB29,BKB-R,8_15,The three girls are listening.,104,NativeMandarin-Low (NML),104_practice_01.mp3,V2,360,3927255,X12,12,"


7",7,1,0.165,0.165,0.171,0.165,FirstClick
13,V2,3,3,BKB,BKB7,BKB-R,7_8,The young people are dancing.,104,NativeMandarin-Low (NML),104_practice_03.mp3,V2,360,3927255,X13,13,"


7",7,1,0.091,0.091,0.097,0.091,FirstClick
14,V2,4,12,BKB,BKB21,BKB-R,8_7,The ball broke the window.,104,NativeMandarin-Low (NML),104_practice_04.mp3,V2,360,3927255,X14,14,"


7",7,1,0.112,0.112,0.12,0.112,FirstClick
15,V2,5,9,BKB,BKB15,BKB-R,8_1,The boy forgot his book.,104,NativeMandarin-Low (NML),104_practice_05.mp3,V2,360,3927255,X15,15,"


7",7,1,0.154,0.154,0.162,0.154,FirstClick
16,V2,6,5,BKB,BKB9,BKB-R,7_10,They had two empty bottles.,104,NativeMandarin-Low (NML),104_practice_06.mp3,V2,360,3927255,X16,16,"


8",8,1,0.407,0.407,0.414,0.407,FirstClick
17,V2,7,15,BKB,BKB30,BKB-R,8_16,The coat is on the chair.,104,NativeMandarin-Low (NML),104_practice_07.mp3,V2,360,3927255,X17,17,"


7",7,1,0.381,0.381,0.388,0.381,FirstClick
18,V2,8,8,BKB,BKB14,BKB-R,7_16,The new road is on the map. ,104,NativeMandarin-Low (NML),104_practice_08.mp3,V2,360,3927255,X18,18,"


5",5,1,1.144,1.144,1.151,1.144,FirstClick
19,V2,9,11,BKB,BKB20,BKB-R,8_6,The jug is on the shelf.,104,NativeMandarin-Low (NML),104_practice_09.mp3,V2,360,3927255,X19,19,"


7",7,1,0.526,0.526,0.532,0.526,FirstClick
20,V2,10,6,BKB,BKB12,BKB-R,7_13,The girl has a picture book.,104,NativeMandarin-Low (NML),104_practice_10.mp3,V2,360,3927255,X20,20,"


7",7,1,0.154,0.154,0.16,0.154,FirstClick
21,V2,11,7,BKB,BKB13,BKB-R,7_14,The orange was very sweet.,104,NativeMandarin-Low (NML),104_practice_11.mp3,V2,360,3927255,X21,21,"


7",7,1,0.072,0.072,0.078,0.072,FirstClick
22,V2,1,14,BKB,BKB29,BKB-R,8_15,The three girls are listening.,302,NativeMandarin-High (NMH),302_practice_01.mp3,V2,360,3927255,X22,22,"


3",3,1,0.332,0.332,0.338,0.332,FirstClick
23,V2,3,3,BKB,BKB7,BKB-R,7_8,The young people are dancing.,302,NativeMandarin-High (NMH),302_practice_03.mp3,V2,360,3927255,X23,23,"


7",7,1,0.402,0.402,0.409,0.402,FirstClick
24,V2,4,12,BKB,BKB21,BKB-R,8_7,The ball broke the window.,302,NativeMandarin-High (NMH),302_practice_04.mp3,V2,360,3927255,X24,24,"


4",4,1,0.982,0.982,0.989,0.982,FirstClick
25,V2,5,9,BKB,BKB15,BKB-R,8_1,The boy forgot his book.,302,NativeMandarin-High (NMH),302_practice_05.mp3,V2,360,3927255,X25,25,"


7",7,1,0.108,0.108,0.116,0.108,FirstClick
26,V2,6,5,BKB,BKB9,BKB-R,7_10,They had two empty bottles.,302,NativeMandarin-High (NMH),302_practice_06.mp3,V2,360,3927255,X26,26,"


7",7,1,1.271,1.271,1.277,1.271,FirstClick
27,V2,7,15,BKB,BKB30,BKB-R,8_16,The coat is on the chair.,302,NativeMandarin-High (NMH),302_practice_07.mp3,V2,360,3927255,X27,27,"


5",5,1,0.069,0.069,0.076,0.069,FirstClick
28,V2,8,8,BKB,BKB14,BKB-R,7_16,The new road is on the map. ,302,NativeMandarin-High (NMH),302_practice_08.mp3,V2,360,3927255,X28,28,"


2",2,1,0.28,0.28,0.286,0.28,FirstClick
29,V2,9,11,BKB,BKB20,BKB-R,8_6,The jug is on the shelf.,302,NativeMandarin-High (NMH),302_practice_09.mp3,V2,360,3927255,X29,29,"


3",3,1,0.472,0.472,0.478,0.472,FirstClick
30,V2,10,6,BKB,BKB12,BKB-R,7_13,The girl has a picture book.,302,NativeMandarin-High (NMH),302_practice_10.mp3,V2,360,3927255,X30,30,"


2",2,1,0.271,0.271,0.277,0.271,FirstClick
31,V2,11,7,BKB,BKB13,BKB-R,7_14,The orange was very sweet.,302,NativeMandarin-High (NMH),302_practice_11.mp3,V2,360,3927255,X31,31,"


4",4,2,0.559,0.8,0.807,0.8,LastClick
32,V2,1,14,BKB,BKB29,BKB-R,8_15,The three girls are listening.,310,NativeMandarin-High (NMH),310_practice_01.mp3,V2,360,3927255,X32,32,"


4",4,1,0.101,0.101,0.107,0.101,FirstClick
33,V2,3,3,BKB,BKB7,BKB-R,7_8,The young people are dancing.,310,NativeMandarin-High (NMH),310_practice_03.mp3,V2,360,3927255,X33,33,"


3",3,1,0.33,0.33,0.336,0.33,FirstClick
34,V2,4,12,BKB,BKB21,BKB-R,8_7,The ball broke the window.,310,NativeMandarin-High (NMH),310_practice_04.mp3,V2,360,3927255,X34,34,"


4",4,1,0.207,0.207,0.214,0.207,FirstClick
35,V2,5,9,BKB,BKB15,BKB-R,8_1,The boy forgot his book.,310,NativeMandarin-High (NMH),310_practice_05.mp3,V2,360,3927255,X35,35,"


4",4,1,0.25,0.25,0.257,0.25,FirstClick
36,V2,6,5,BKB,BKB9,BKB-R,7_10,They had two empty bottles.,310,NativeMandarin-High (NMH),310_practice_06.mp3,V2,360,3927255,X36,36,"


4",4,1,0.714,0.714,0.722,0.714,FirstClick
37,V2,7,15,BKB,BKB30,BKB-R,8_16,The coat is on the chair.,310,NativeMandarin-High (NMH),310_practice_07.mp3,V2,360,3927255,X37,37,"A native English speaker
1",1,1,0.002,0.002,0.008,0.002,FirstClick
38,V2,8,8,BKB,BKB14,BKB-R,7_16,The new road is on the map. ,310,NativeMandarin-High (NMH),310_practice_08.mp3,V2,360,3927255,X38,38,"


3",3,1,0.335,0.335,0.342,0.335,FirstClick
39,V2,9,11,BKB,BKB20,BKB-R,8_6,The jug is on the shelf.,310,NativeMandarin-High (NMH),310_practice_09.mp3,V2,360,3927255,X39,39,"


3",3,1,0.149,0.149,0.155,0.149,FirstClick
40,V2,10,6,BKB,BKB12,BKB-R,7_13,The girl has a picture book.,310,NativeMandarin-High (NMH),310_practice_10.mp3,V2,360,3927255,X40,40,"


4",4,1,0.284,0.284,0.29,0.284,FirstClick
