"","ItemNumber","listener_group","ProductionPresentationOrder","SentenceOrder","Type","Type_Num","Source","SourceNum","SentenceCorrect","Talker","TalkerGroup","Sound","ListenerGroup","Duration..in.seconds.","mTurkCode","ItemNum","ItemNum2","Resp","Resp_NUM","Timing_Click.Count","Timing_First.Click","Timing_Last.Click","Timing_Page.Submit","RT","WhichRT","zscore_Resp_NUM"
"83",24,"V3",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",306,"NativeMandarin-High (NMH)","306_practice_04.mp3","V3",774,"1682505","X24",24,"


6",6,1,1.235,1.235,1.253,1.235,"FirstClick",0.44987223153406
"84",25,"V3",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",306,"NativeMandarin-High (NMH)","306_practice_05.mp3","V3",774,"1682505","X25",25,"


4",4,1,0.969,0.969,0.987,0.969,"FirstClick",-0.260452344572351
"85",26,"V3",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",306,"NativeMandarin-High (NMH)","306_practice_06.mp3","V3",774,"1682505","X26",26,"


5",5,1,0.558,0.558,0.576,0.558,"FirstClick",0.0947099434808548
"86",27,"V3",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",306,"NativeMandarin-High (NMH)","306_practice_07.mp3","V3",774,"1682505","X27",27,"


4",4,1,0.85,0.85,0.88,0.85,"FirstClick",-0.260452344572351
"87",28,"V3",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",306,"NativeMandarin-High (NMH)","306_practice_08.mp3","V3",774,"1682505","X28",28,"


3",3,1,1.517,1.517,1.533,1.517,"FirstClick",-0.615614632625556
"88",29,"V3",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",306,"NativeMandarin-High (NMH)","306_practice_09.mp3","V3",774,"1682505","X29",29,"


4",4,1,0.92,0.92,0.936,0.92,"FirstClick",-0.260452344572351
"89",30,"V3",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",306,"NativeMandarin-High (NMH)","306_practice_10.mp3","V3",774,"1682505","X30",30,"


5",5,1,6.383,6.383,6.301,6.383,"FirstClick",0.0947099434808548
"90",31,"V3",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",306,"NativeMandarin-High (NMH)","306_practice_11.mp3","V3",774,"1682505","X31",31,"


5",5,1,1.732,1.732,1.75,1.732,"FirstClick",0.0947099434808548
"91",32,"V3",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",311,"NativeMandarin-High (NMH)","311_practice_01.mp3","V3",774,"1682505","X32",32,"


8",8,1,0.949,0.949,0.982,0.949,"FirstClick",1.16019680764047
"92",33,"V3",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",311,"NativeMandarin-High (NMH)","311_practice_03.mp3","V3",774,"1682505","X33",33,"


7",7,1,0.508,0.508,0.526,0.508,"FirstClick",0.805034519587266
"93",34,"V3",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",311,"NativeMandarin-High (NMH)","311_practice_04.mp3","V3",774,"1682505","X34",34,"


7",7,1,0.625,0.625,0.647,0.625,"FirstClick",0.805034519587266
"94",35,"V3",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",311,"NativeMandarin-High (NMH)","311_practice_05.mp3","V3",774,"1682505","X35",35,"


7",7,1,0.489,0.489,0.401,0.489,"FirstClick",0.805034519587266
"95",36,"V3",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",311,"NativeMandarin-High (NMH)","311_practice_06.mp3","V3",774,"1682505","X36",36,"


6",6,1,0.586,0.586,0.5,0.586,"FirstClick",0.44987223153406
"96",37,"V3",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",311,"NativeMandarin-High (NMH)","311_practice_07.mp3","V3",774,"1682505","X37",37,"


7",7,1,0.641,0.641,0.662,0.641,"FirstClick",0.805034519587266
"97",38,"V3",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",311,"NativeMandarin-High (NMH)","311_practice_08.mp3","V3",774,"1682505","X38",38,"


6",6,2,2.434,8.79,8.814,8.79,"LastClick",0.44987223153406
"98",39,"V3",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",311,"NativeMandarin-High (NMH)","311_practice_09.mp3","V3",774,"1682505","X39",39,"


6",6,1,2.699,2.699,2.736,2.699,"FirstClick",0.44987223153406
"99",40,"V3",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",311,"NativeMandarin-High (NMH)","311_practice_10.mp3","V3",774,"1682505","X40",40,"


6",6,1,1.956,1.956,1.983,1.956,"FirstClick",0.44987223153406
"100",41,"V3",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",311,"NativeMandarin-High (NMH)","311_practice_11.mp3","V3",774,"1682505","X41",41,"


7",7,1,0.706,0.706,0.727,0.706,"FirstClick",0.805034519587266
"101",42,"V3",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",405,"NativeEnglish (NTE)","405_practice_01.mp3","V3",774,"1682505","X42",42,"A native English speaker
1",1,1,0.599,0.599,0.633,0.599,"FirstClick",-1.32593920873197
"102",43,"V3",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",405,"NativeEnglish (NTE)","405_practice_03.mp3","V3",774,"1682505","X43",43,"


2",2,1,1.28,1.28,1.297,1.28,"FirstClick",-0.970776920678762
