"","ItemNumber","listener_group","ProductionPresentationOrder","SentenceOrder","Type","Type_Num","Source","SourceNum","SentenceCorrect","Talker","TalkerGroup","Sound","ListenerGroup","Duration..in.seconds.","mTurkCode","ItemNum","ItemNum2","Resp","Resp_NUM","Timing_Click.Count","Timing_First.Click","Timing_Last.Click","Timing_Page.Submit","RT","WhichRT","zscore_Resp_NUM"
"1144",5,"V2",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",103,"NativeMandarin-Low (NML)","103_practice_05.mp3","V2",513,"5641834","X5",5,"


7",7,1,0.719,0.719,0.737,0.719,"FirstClick",1.05980690975574
"1145",6,"V2",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",103,"NativeMandarin-Low (NML)","103_practice_06.mp3","V2",513,"5641834","X6",6,"


6",6,1,1.201,1.201,1.215,1.201,"FirstClick",0.674422578935472
"1146",7,"V2",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",103,"NativeMandarin-Low (NML)","103_practice_07.mp3","V2",513,"5641834","X7",7,"


8",8,1,0.927,0.927,0.948,0.927,"FirstClick",1.44519124057601
"1147",8,"V2",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",103,"NativeMandarin-Low (NML)","103_practice_08.mp3","V2",513,"5641834","X8",8,"


6",6,1,0.958,0.958,0.975,0.958,"FirstClick",0.674422578935472
"1148",9,"V2",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",103,"NativeMandarin-Low (NML)","103_practice_09.mp3","V2",513,"5641834","X9",9,"


8",8,1,1.151,1.151,1.167,1.151,"FirstClick",1.44519124057601
"1149",10,"V2",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",103,"NativeMandarin-Low (NML)","103_practice_10.mp3","V2",513,"5641834","X10",10,"


6",6,1,1.735,1.735,1.75,1.735,"FirstClick",0.674422578935472
"1150",11,"V2",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",103,"NativeMandarin-Low (NML)","103_practice_11.mp3","V2",513,"5641834","X11",11,"


7",7,1,0.769,0.769,0.784,0.769,"FirstClick",1.05980690975574
"1151",12,"V2",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",104,"NativeMandarin-Low (NML)","104_practice_01.mp3","V2",513,"5641834","X12",12,"


3",3,1,1.477,1.477,1.5,1.477,"FirstClick",-0.481730413525337
"1152",13,"V2",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",104,"NativeMandarin-Low (NML)","104_practice_03.mp3","V2",513,"5641834","X13",13,"


8",8,1,0.627,0.627,0.649,0.627,"FirstClick",1.44519124057601
"1153",14,"V2",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",104,"NativeMandarin-Low (NML)","104_practice_04.mp3","V2",513,"5641834","X14",14,"


7",7,1,1.061,1.061,1.074,1.061,"FirstClick",1.05980690975574
"1154",15,"V2",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",104,"NativeMandarin-Low (NML)","104_practice_05.mp3","V2",513,"5641834","X15",15,"


8",8,1,0.882,0.882,0.896,0.882,"FirstClick",1.44519124057601
"1155",16,"V2",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",104,"NativeMandarin-Low (NML)","104_practice_06.mp3","V2",513,"5641834","X16",16,"


8",8,1,0.736,0.736,0.749,0.736,"FirstClick",1.44519124057601
"1156",17,"V2",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",104,"NativeMandarin-Low (NML)","104_practice_07.mp3","V2",513,"5641834","X17",17,"


8",8,1,1.099,1.099,1.114,1.099,"FirstClick",1.44519124057601
"1157",18,"V2",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",104,"NativeMandarin-Low (NML)","104_practice_08.mp3","V2",513,"5641834","X18",18,"


7",7,1,1.357,1.357,1.372,1.357,"FirstClick",1.05980690975574
"1158",19,"V2",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",104,"NativeMandarin-Low (NML)","104_practice_09.mp3","V2",513,"5641834","X19",19,"An extremely strong
foreign accent
9",9,1,1.492,1.492,1.402,1.492,"FirstClick",1.83057557139628
"1159",20,"V2",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",104,"NativeMandarin-Low (NML)","104_practice_10.mp3","V2",513,"5641834","X20",20,"


8",8,1,1.387,1.387,1.301,1.387,"FirstClick",1.44519124057601
"1160",21,"V2",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",104,"NativeMandarin-Low (NML)","104_practice_11.mp3","V2",513,"5641834","X21",21,"


6",6,1,1.618,1.618,1.632,1.618,"FirstClick",0.674422578935472
"1161",22,"V2",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",302,"NativeMandarin-High (NMH)","302_practice_01.mp3","V2",513,"5641834","X22",22,"


2",2,1,1.209,1.209,1.246,1.209,"FirstClick",-0.867114744345607
"1162",23,"V2",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",302,"NativeMandarin-High (NMH)","302_practice_03.mp3","V2",513,"5641834","X23",23,"


8",8,1,0.724,0.724,0.737,0.724,"FirstClick",1.44519124057601
"1163",24,"V2",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",302,"NativeMandarin-High (NMH)","302_practice_04.mp3","V2",513,"5641834","X24",24,"


7",7,1,1.001,1.001,1.123,1.001,"FirstClick",1.05980690975574
"1164",25,"V2",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",302,"NativeMandarin-High (NMH)","302_practice_05.mp3","V2",513,"5641834","X25",25,"


3",3,1,0.861,0.861,0.876,0.861,"FirstClick",-0.481730413525337
"1165",26,"V2",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",302,"NativeMandarin-High (NMH)","302_practice_06.mp3","V2",513,"5641834","X26",26,"


2",2,1,8.028,8.028,8.042,8.028,"FirstClick",-0.867114744345607
"1166",27,"V2",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",302,"NativeMandarin-High (NMH)","302_practice_07.mp3","V2",513,"5641834","X27",27,"


7",7,1,0.742,0.742,0.759,0.742,"FirstClick",1.05980690975574
"1167",28,"V2",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",302,"NativeMandarin-High (NMH)","302_practice_08.mp3","V2",513,"5641834","X28",28,"


3",3,1,0.649,0.649,0.663,0.649,"FirstClick",-0.481730413525337
"1168",29,"V2",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",302,"NativeMandarin-High (NMH)","302_practice_09.mp3","V2",513,"5641834","X29",29,"


3",3,1,1.223,1.223,1.237,1.223,"FirstClick",-0.481730413525337
"1169",30,"V2",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",302,"NativeMandarin-High (NMH)","302_practice_10.mp3","V2",513,"5641834","X30",30,"


3",3,1,0.652,0.652,0.666,0.652,"FirstClick",-0.481730413525337
"1170",31,"V2",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",302,"NativeMandarin-High (NMH)","302_practice_11.mp3","V2",513,"5641834","X31",31,"


3",3,1,1.332,1.332,1.346,1.332,"FirstClick",-0.481730413525337
"1171",32,"V2",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",310,"NativeMandarin-High (NMH)","310_practice_01.mp3","V2",513,"5641834","X32",32,"A native English speaker
1",1,1,0.457,0.457,0.47,0.457,"FirstClick",-1.25249907516588
"1172",33,"V2",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",310,"NativeMandarin-High (NMH)","310_practice_03.mp3","V2",513,"5641834","X33",33,"


3",3,1,0.798,0.798,0.818,0.798,"FirstClick",-0.481730413525337
"1173",34,"V2",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",310,"NativeMandarin-High (NMH)","310_practice_04.mp3","V2",513,"5641834","X34",34,"


2",2,1,1.273,1.273,1.289,1.273,"FirstClick",-0.867114744345607
"1174",35,"V2",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",310,"NativeMandarin-High (NMH)","310_practice_05.mp3","V2",513,"5641834","X35",35,"


3",3,1,0.77,0.77,0.788,0.77,"FirstClick",-0.481730413525337
"1175",36,"V2",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",310,"NativeMandarin-High (NMH)","310_practice_06.mp3","V2",513,"5641834","X36",36,"A native English speaker
1",1,1,0.619,0.619,0.632,0.619,"FirstClick",-1.25249907516588
"1176",37,"V2",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",310,"NativeMandarin-High (NMH)","310_practice_07.mp3","V2",513,"5641834","X37",37,"A native English speaker
1",1,1,1.153,1.153,1.171,1.153,"FirstClick",-1.25249907516588
"1177",38,"V2",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",310,"NativeMandarin-High (NMH)","310_practice_08.mp3","V2",513,"5641834","X38",38,"


3",3,1,0.962,0.962,0.987,0.962,"FirstClick",-0.481730413525337
"1178",39,"V2",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",310,"NativeMandarin-High (NMH)","310_practice_09.mp3","V2",513,"5641834","X39",39,"


2",2,1,1.686,1.686,1.6,1.686,"FirstClick",-0.867114744345607
"1179",40,"V2",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",310,"NativeMandarin-High (NMH)","310_practice_10.mp3","V2",513,"5641834","X40",40,"


2",2,1,0.749,0.749,0.766,0.749,"FirstClick",-0.867114744345607
"1180",41,"V2",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",310,"NativeMandarin-High (NMH)","310_practice_11.mp3","V2",513,"5641834","X41",41,"


2",2,1,0.955,0.955,0.97,0.955,"FirstClick",-0.867114744345607
"1181",42,"V2",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",403,"NativeEnglish (NTE)","403_practice_01.mp3","V2",513,"5641834","X42",42,"A native English speaker
1",1,1,0.758,0.758,0.772,0.758,"FirstClick",-1.25249907516588
"1182",43,"V2",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",403,"NativeEnglish (NTE)","403_practice_03.mp3","V2",513,"5641834","X43",43,"A native English speaker
1",1,1,0.967,0.967,0.985,0.967,"FirstClick",-1.25249907516588
"1183",44,"V2",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",403,"NativeEnglish (NTE)","403_practice_04.mp3","V2",513,"5641834","X44",44,"A native English speaker
1",1,1,0.455,0.455,0.47,0.455,"FirstClick",-1.25249907516588
"1184",45,"V2",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",403,"NativeEnglish (NTE)","403_practice_05.mp3","V2",513,"5641834","X45",45,"


2",2,1,0.584,0.584,0.603,0.584,"FirstClick",-0.867114744345607
"1185",46,"V2",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",403,"NativeEnglish (NTE)","403_practice_06.mp3","V2",513,"5641834","X46",46,"


2",2,1,0.815,0.815,0.831,0.815,"FirstClick",-0.867114744345607
"1186",47,"V2",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",403,"NativeEnglish (NTE)","403_practice_07.mp3","V2",513,"5641834","X47",47,"


4",4,1,1.246,1.246,1.265,1.246,"FirstClick",-0.0963460827050675
"1187",48,"V2",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",403,"NativeEnglish (NTE)","403_practice_08.mp3","V2",513,"5641834","X48",48,"


3",3,1,0.973,0.973,0.986,0.973,"FirstClick",-0.481730413525337
"1188",49,"V2",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",403,"NativeEnglish (NTE)","403_practice_09.mp3","V2",513,"5641834","X49",49,"


3",3,1,1.086,1.086,1.101,1.086,"FirstClick",-0.481730413525337
"1189",50,"V2",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",403,"NativeEnglish (NTE)","403_practice_10.mp3","V2",513,"5641834","X50",50,"


4",4,1,0.765,0.765,0.777,0.765,"FirstClick",-0.0963460827050675
"1190",51,"V2",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",403,"NativeEnglish (NTE)","403_practice_11.mp3","V2",513,"5641834","X51",51,"A native English speaker
1",1,1,0.297,0.297,0.31,0.297,"FirstClick",-1.25249907516588
"1191",52,"V2",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",404,"NativeEnglish (NTE)","404_practice_01.mp3","V2",513,"5641834","X52",52,"


3",3,1,0.551,0.551,0.567,0.551,"FirstClick",-0.481730413525337
"1192",53,"V2",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",404,"NativeEnglish (NTE)","404_practice_03.mp3","V2",513,"5641834","X53",53,"


2",2,1,0.981,0.981,0.996,0.981,"FirstClick",-0.867114744345607
"1193",54,"V2",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",404,"NativeEnglish (NTE)","404_practice_04.mp3","V2",513,"5641834","X54",54,"


5",5,1,2.34,2.34,2.354,2.34,"FirstClick",0.289038248115202
"1194",55,"V2",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",404,"NativeEnglish (NTE)","404_practice_05.mp3","V2",513,"5641834","X55",55,"


2",2,1,1.188,1.188,1.102,1.188,"FirstClick",-0.867114744345607
"1195",56,"V2",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",404,"NativeEnglish (NTE)","404_practice_06.mp3","V2",513,"5641834","X56",56,"A native English speaker
1",1,1,0.922,0.922,0.938,0.922,"FirstClick",-1.25249907516588
"1196",57,"V2",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",404,"NativeEnglish (NTE)","404_practice_07.mp3","V2",513,"5641834","X57",57,"


4",4,1,0.942,0.942,0.955,0.942,"FirstClick",-0.0963460827050675
"1197",58,"V2",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",404,"NativeEnglish (NTE)","404_practice_08.mp3","V2",513,"5641834","X58",58,"


3",3,1,0.843,0.843,0.861,0.843,"FirstClick",-0.481730413525337
"1198",59,"V2",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",404,"NativeEnglish (NTE)","404_practice_09.mp3","V2",513,"5641834","X59",59,"


5",5,1,1.355,1.355,1.369,1.355,"FirstClick",0.289038248115202
"1199",60,"V2",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",404,"NativeEnglish (NTE)","404_practice_10.mp3","V2",513,"5641834","X60",60,"


3",3,1,1.298,1.298,1.313,1.298,"FirstClick",-0.481730413525337
"1200",61,"V2",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",404,"NativeEnglish (NTE)","404_practice_11.mp3","V2",513,"5641834","X61",61,"A native English speaker
1",1,1,0.636,0.636,0.65,0.636,"FirstClick",-1.25249907516588
"1201",1,"V3",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",106,"NativeMandarin-Low (NML)","106_practice_01.mp3","V3",488,"5693137","X1",1,"An extremely strong
foreign accent
9",9,1,0.178,0.178,0.195,0.178,"FirstClick",1.13434216246397
"1202",3,"V3",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",106,"NativeMandarin-Low (NML)","106_practice_03.mp3","V3",488,"5693137","X3",3,"An extremely strong
foreign accent
9",9,1,0.478,0.478,0.494,0.478,"FirstClick",1.13434216246397
"1203",4,"V3",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",106,"NativeMandarin-Low (NML)","106_practice_04.mp3","V3",488,"5693137","X4",4,"An extremely strong
foreign accent
9",9,1,0.284,0.284,0.201,0.284,"FirstClick",1.13434216246397
"1204",5,"V3",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",106,"NativeMandarin-Low (NML)","106_practice_05.mp3","V3",488,"5693137","X5",5,"An extremely strong
foreign accent
9",9,1,0.068,0.068,0.084,0.068,"FirstClick",1.13434216246397
"1205",6,"V3",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",106,"NativeMandarin-Low (NML)","106_practice_06.mp3","V3",488,"5693137","X6",6,"An extremely strong
foreign accent
9",9,1,0.298,0.298,0.318,0.298,"FirstClick",1.13434216246397
"1206",7,"V3",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",106,"NativeMandarin-Low (NML)","106_practice_07.mp3","V3",488,"5693137","X7",7,"An extremely strong
foreign accent
9",9,1,0.263,0.263,0.291,0.263,"FirstClick",1.13434216246397
"1207",8,"V3",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",106,"NativeMandarin-Low (NML)","106_practice_08.mp3","V3",488,"5693137","X8",8,"An extremely strong
foreign accent
9",9,1,0.248,0.248,0.268,0.248,"FirstClick",1.13434216246397
"1208",9,"V3",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",106,"NativeMandarin-Low (NML)","106_practice_09.mp3","V3",488,"5693137","X9",9,"An extremely strong
foreign accent
9",9,1,0.149,0.149,0.167,0.149,"FirstClick",1.13434216246397
"1209",10,"V3",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",106,"NativeMandarin-Low (NML)","106_practice_10.mp3","V3",488,"5693137","X10",10,"An extremely strong
foreign accent
9",9,1,0.202,0.202,0.236,0.202,"FirstClick",1.13434216246397
"1210",11,"V3",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",106,"NativeMandarin-Low (NML)","106_practice_11.mp3","V3",488,"5693137","X11",11,"An extremely strong
foreign accent
9",9,1,0.296,0.296,0.201,0.296,"FirstClick",1.13434216246397
"1211",12,"V3",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",107,"NativeMandarin-Low (NML)","107_practice_01.mp3","V3",488,"5693137","X12",12,"An extremely strong
foreign accent
9",9,1,0.519,0.519,0.534,0.519,"FirstClick",1.13434216246397
"1212",13,"V3",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",107,"NativeMandarin-Low (NML)","107_practice_03.mp3","V3",488,"5693137","X13",13,"An extremely strong
foreign accent
9",9,1,1.034,1.034,1.052,1.034,"FirstClick",1.13434216246397
"1213",14,"V3",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",107,"NativeMandarin-Low (NML)","107_practice_04.mp3","V3",488,"5693137","X14",14,"


7",7,1,5.672,5.672,5.689,5.672,"FirstClick",0.545073506638532
"1214",15,"V3",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",107,"NativeMandarin-Low (NML)","107_practice_05.mp3","V3",488,"5693137","X15",15,"


8",8,1,1.648,1.648,1.665,1.648,"FirstClick",0.839707834551252
"1215",16,"V3",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",107,"NativeMandarin-Low (NML)","107_practice_06.mp3","V3",488,"5693137","X16",16,"An extremely strong
foreign accent
9",9,1,0.193,0.193,0.1,0.193,"FirstClick",1.13434216246397
"1216",17,"V3",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",107,"NativeMandarin-Low (NML)","107_practice_07.mp3","V3",488,"5693137","X17",17,"


7",7,1,0.852,0.852,0.869,0.852,"FirstClick",0.545073506638532
"1217",18,"V3",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",107,"NativeMandarin-Low (NML)","107_practice_08.mp3","V3",488,"5693137","X18",18,"An extremely strong
foreign accent
9",9,1,0.203,0.203,0.219,0.203,"FirstClick",1.13434216246397
"1218",19,"V3",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",107,"NativeMandarin-Low (NML)","107_practice_09.mp3","V3",488,"5693137","X19",19,"


7",7,1,0.787,0.787,0.7,0.787,"FirstClick",0.545073506638532
"1219",20,"V3",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",107,"NativeMandarin-Low (NML)","107_practice_10.mp3","V3",488,"5693137","X20",20,"An extremely strong
foreign accent
9",9,1,2.433,2.433,2.454,2.433,"FirstClick",1.13434216246397
"1220",21,"V3",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",107,"NativeMandarin-Low (NML)","107_practice_11.mp3","V3",488,"5693137","X21",21,"An extremely strong
foreign accent
9",9,1,0.334,0.334,0.351,0.334,"FirstClick",1.13434216246397
"1221",22,"V3",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",306,"NativeMandarin-High (NMH)","306_practice_01.mp3","V3",488,"5693137","X22",22,"


4",4,1,1.637,1.637,1.657,1.637,"FirstClick",-0.338829477099628
"1222",23,"V3",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",306,"NativeMandarin-High (NMH)","306_practice_03.mp3","V3",488,"5693137","X23",23,"


6",6,1,2.146,2.146,2.161,2.146,"FirstClick",0.250439178725812
"1223",24,"V3",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",306,"NativeMandarin-High (NMH)","306_practice_04.mp3","V3",488,"5693137","X24",24,"


3",3,1,0.585,0.585,0.6,0.585,"FirstClick",-0.633463805012348
"1224",25,"V3",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",306,"NativeMandarin-High (NMH)","306_practice_05.mp3","V3",488,"5693137","X25",25,"


6",6,1,0.898,0.898,0.916,0.898,"FirstClick",0.250439178725812
"1225",26,"V3",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",306,"NativeMandarin-High (NMH)","306_practice_06.mp3","V3",488,"5693137","X26",26,"


3",3,1,0.729,0.729,0.75,0.729,"FirstClick",-0.633463805012348
"1226",27,"V3",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",306,"NativeMandarin-High (NMH)","306_practice_07.mp3","V3",488,"5693137","X27",27,"


2",2,1,3.198,3.198,3.216,3.198,"FirstClick",-0.928098132925069
"1227",28,"V3",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",306,"NativeMandarin-High (NMH)","306_practice_08.mp3","V3",488,"5693137","X28",28,"


3",3,1,0.8,0.8,0.922,0.8,"FirstClick",-0.633463805012348
"1228",29,"V3",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",306,"NativeMandarin-High (NMH)","306_practice_09.mp3","V3",488,"5693137","X29",29,"


6",6,1,0.509,0.509,0.524,0.509,"FirstClick",0.250439178725812
"1229",30,"V3",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",306,"NativeMandarin-High (NMH)","306_practice_10.mp3","V3",488,"5693137","X30",30,"


6",6,1,1.326,1.326,1.346,1.326,"FirstClick",0.250439178725812
"1230",31,"V3",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",306,"NativeMandarin-High (NMH)","306_practice_11.mp3","V3",488,"5693137","X31",31,"


4",4,1,1.182,1.182,1.198,1.182,"FirstClick",-0.338829477099628
"1231",32,"V3",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",311,"NativeMandarin-High (NMH)","311_practice_01.mp3","V3",488,"5693137","X32",32,"An extremely strong
foreign accent
9",9,1,1.212,1.212,1.234,1.212,"FirstClick",1.13434216246397
"1232",33,"V3",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",311,"NativeMandarin-High (NMH)","311_practice_03.mp3","V3",488,"5693137","X33",33,"


7",7,1,0.694,0.694,0.602,0.694,"FirstClick",0.545073506638532
"1233",34,"V3",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",311,"NativeMandarin-High (NMH)","311_practice_04.mp3","V3",488,"5693137","X34",34,"


5",5,1,1.641,1.641,1.66,1.641,"FirstClick",-0.0441951491869081
"1234",35,"V3",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",311,"NativeMandarin-High (NMH)","311_practice_05.mp3","V3",488,"5693137","X35",35,"


7",7,1,0.547,0.547,0.563,0.547,"FirstClick",0.545073506638532
"1235",36,"V3",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",311,"NativeMandarin-High (NMH)","311_practice_06.mp3","V3",488,"5693137","X36",36,"


6",6,1,0.726,0.726,0.742,0.726,"FirstClick",0.250439178725812
"1236",37,"V3",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",311,"NativeMandarin-High (NMH)","311_practice_07.mp3","V3",488,"5693137","X37",37,"


8",8,1,2.033,2.033,2.052,2.033,"FirstClick",0.839707834551252
"1237",38,"V3",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",311,"NativeMandarin-High (NMH)","311_practice_08.mp3","V3",488,"5693137","X38",38,"


7",7,1,0.714,0.714,0.729,0.714,"FirstClick",0.545073506638532
"1238",39,"V3",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",311,"NativeMandarin-High (NMH)","311_practice_09.mp3","V3",488,"5693137","X39",39,"An extremely strong
foreign accent
9",9,1,0.168,0.168,0.186,0.168,"FirstClick",1.13434216246397
"1239",40,"V3",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",311,"NativeMandarin-High (NMH)","311_practice_10.mp3","V3",488,"5693137","X40",40,"


6",6,1,1.337,1.337,1.357,1.337,"FirstClick",0.250439178725812
"1240",41,"V3",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",311,"NativeMandarin-High (NMH)","311_practice_11.mp3","V3",488,"5693137","X41",41,"


8",8,1,2.692,2.692,2.601,2.692,"FirstClick",0.839707834551252
"1241",42,"V3",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",405,"NativeEnglish (NTE)","405_practice_01.mp3","V3",488,"5693137","X42",42,"A native English speaker
1",1,1,0.35,0.35,0.369,0.35,"FirstClick",-1.22273246083779
"1242",43,"V3",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",405,"NativeEnglish (NTE)","405_practice_03.mp3","V3",488,"5693137","X43",43,"A native English speaker
1",1,1,0.316,0.316,0.334,0.316,"FirstClick",-1.22273246083779
"1243",44,"V3",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",405,"NativeEnglish (NTE)","405_practice_04.mp3","V3",488,"5693137","X44",44,"A native English speaker
1",1,1,0.35,0.35,0.366,0.35,"FirstClick",-1.22273246083779
"1244",45,"V3",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",405,"NativeEnglish (NTE)","405_practice_05.mp3","V3",488,"5693137","X45",45,"A native English speaker
1",1,1,0.19,0.19,0.206,0.19,"FirstClick",-1.22273246083779
"1245",46,"V3",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",405,"NativeEnglish (NTE)","405_practice_06.mp3","V3",488,"5693137","X46",46,"A native English speaker
1",1,1,0.262,0.262,0.281,0.262,"FirstClick",-1.22273246083779
"1246",47,"V3",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",405,"NativeEnglish (NTE)","405_practice_07.mp3","V3",488,"5693137","X47",47,"A native English speaker
1",1,1,0.207,0.207,0.233,0.207,"FirstClick",-1.22273246083779
"1247",48,"V3",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",405,"NativeEnglish (NTE)","405_practice_08.mp3","V3",488,"5693137","X48",48,"A native English speaker
1",1,1,0.266,0.266,0.287,0.266,"FirstClick",-1.22273246083779
"1248",49,"V3",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",405,"NativeEnglish (NTE)","405_practice_09.mp3","V3",488,"5693137","X49",49,"A native English speaker
1",1,1,0.34,0.34,0.361,0.34,"FirstClick",-1.22273246083779
"1249",50,"V3",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",405,"NativeEnglish (NTE)","405_practice_10.mp3","V3",488,"5693137","X50",50,"A native English speaker
1",1,1,0.293,0.293,0.2,0.293,"FirstClick",-1.22273246083779
